제목,내용,게시자,게시날짜
"황정민 (전두환,장군의,아들,부인,서울,나이,대머리,여행,데뷔)","프롬스의 최근 이슈 황정민 황정민 黃晸玟 ｜ Hwang Jung-min 출생 1970년 9월 1일 (53세) 경상남도 마산시 (現 경상남도 창원시 마산합포구) 국적 대한민국 행정구 속령 본관 창원 황씨 (昌原 黄氏) 신체 180cm, 75kg, O형, 왼손잡이 가족 부모님, 남동생 황상준(1972년...",HamilyJ,1일 전
갑분싸를 만드는 이유는 '이것' 때문이다,그런데 갑분싸 상황을 만드는 언행은 왜 발생하는 걸까요? 그 이유는 '자신이 하고 싶은 것'에만 초점을 두기 때문입니다. 다른 사람과 교류를 한다는 것은 상호 간에 이익이 발생하기 때문에 성립합니다. 그게 친구 사이라고 해도 '즐거움'의 교환이 일어나면서 시너지가...,"내일의 나를 오늘 그리는 사람, 사각세모",1일 전
아직 서른 아닌데 나의 20대를 되돌아보며,"쩝, 술 취하기 무서워서 (반 잔이라도 마시면 취할까봐) 안 먹는다고 선언한 뒤 갑분싸 돼서 도망치고 심장 부여잡고서 집에 감. 어떤 선배랑 몇 개월 사귐. 지금 생각하면 진짜 어이 X ㅋㅋㅋ 소꿉장난도 그렇게는 안 하겠다... 근데 아빠한테 말하고 며칠 동안 혼나서 마지막...",검은머리윤 쑥쑥 키우기 프로젝트,1일 전
"[옛날 과자] 사무실에서 혹은 출출할 때 먹기 좋은 간식, 속초 쫀드기","- 갑분싸) 휴대하기도 간편한 사이즈라서, 가방에 넣고 다니기 좋을 거 같고, 또 맛있어서 지인들한테 선물하기도 진짜 좋을 거 같아요 회사에서 출출할 때 간편하게 먹기에도 너무 좋을 거 같아서 이번에 구매한 거 다 먹으면 추가로 더 구매하려고요 ( ‘ω’ و(و...",햄밍,1일 전
2023년 관심사 결산 : 코바늘뜨개 수영 프리다이빙 클래식오케스트라관람 고요한외곽나들이 거북이모임방...,지금 이순간에도 큰거북이는 나를 주시하고 있따 (ㅋㅋㅋㅋ) 눈에 넣어도 아프지않은 내 거북자식 자랑하는게 내 낙인데 파충류에 관심없는 대다수의 사람들에게 말을 꺼내면 갑분싸 되길 일 수 였다. 이런 나의 자랑욕을 풀 수있는 곳. ✨거북이 집사 오픈카톡방✨ 여기는...,나 다운게 뭔데,1일 전
쿠즈시로 작품 불만 하나,오빠의 아내와 살고 있습니다 비 오는 밤의 달 작가인데 종종 작중에 갑분싸한 분위기를 자주 연출한다 이게 글로 쓸려니 전달력이 떨어지는데 실제로 작품 보다보면 느끼게 됨 문제는 그런 연출비중이 높다는 것,nocoment,1일 전
103.11.24 우동 & 새우튀김 샌드위치,"달래서 이미 시작한 튀김 활용 겸 또 샌드위치 제작 결론:내가 샌드위치 1/4만 먹고 남편 튀김,우동,샌드위치 다 먹음ㅋㅋㅋ샌드위치가 안먹을 수 없는 맛이라며~~~ (갑분싸 자랑질) 갈비 주문해서 오는 건 야채가 적어서 집에 있던거 왕창 씻어 냄 시판 냉동 튀김은 익히기만 함",우리집 밥(feat. 내가 쓰는 영화이야기),1일 전
제44회 청룡영화상 축하공연 박진영 영상(ft.배우들 표정),이때부터 갑분싸가 시작돼요 배우들 표정 이병헌 송강호 도경수 류준열 김서형 송중기 김선영 수지 이성민 배우들의 표정이 극과 극을 달렸어요 역시 대배우 이병헌 송강호 배우는 표정관리가 좋아요ㅋㅋ 이런 상황에서도 웃음을 잃지않는 여유!! 박진영의 의상에...,⚡️전국 맛집 투어 중⚡️,1일 전
2023년 10월의 일상,순간 갑분싸돼서 웃긴척 하다가 금방 끊음 엄살 심하다고~ 원짱이 왜케 오랜만에 보는 것 같찌 삼주간 쌓인 근황토크 나누면서 일두루미 한껏 기대하기 또떡 감튀 존니 아름답죠? 급하게 먹다가 배탈날 뻔해서 정신력으로 다스림 존나 바람도 다스리고 배탈도 다스리고...,인지이 블로그,1일 전
우리가 사귀게 된 이야기!,"갑분싸되었을 실력인데 취해있어서 다행이었던 걸까,,, 그리고 내가 볼링 치다가 손톱이 깨졌는데 그걸 계속 오빠한테 보여주면서 계속 얘기했다고 함... 여기보세요ㅜㅜ손톱이 깨졌어요ㅜㅜ 잉잉잉ㅜㅜ 진짜머어쩌라는거야..왜그랬지?ㅠㅠ 나도 모르는 호감이 이미 있었나...",까효이의 블로그!,1일 전
독서대의 숨겨진 기능,직장상사의 노잼 개그로 갑분싸가 찾아올때 “띠용” 본문_최종_검판 에도 수정자가 나와서 최최종을 올렸다고 쫄탱이목소리로 전화한뒤 수화기를 내려놓고 “띠용” 사물 개그로 동료들에게 웃음을 선사해보세요. 보기보다 우렁찬 소리가 나므로 최초 사용시 주의가...,문앞에 두고 가주세요,2일 전
