"""개같이""","""개같이""",,,,,
연/월,"""개같이""_빈도수",,,,,
05-Aug,35,,,,,
05-Jul,46,,,,,
05-Jun,31,,,,,
05-May,54,,,,,
05-Apr,31,,,,,
05-Mar,43,,,,,
05-Feb,44,,,,,
05-Jan,33,,,,,
04-Dec,39,,,,,
04-Nov,41,,,,,
04-Oct,35,,,,,
04-Sep,15,,,,,
04-Aug,17,,,,,
04-Jul,31,,,,,
04-Jun,24,,,,,
04-May,30,,,,,
04-Apr,23,,,,,
04-Mar,19,,,,,
04-Feb,19,,,,,
04-Jan,9,,,,,
03-Dec,8,,,,,
03-Nov,2,,,,,
03-Oct,1,,,,,
03-Sep,0,,,,,
