제목,내용,게시자,게시날짜
[바느질] 실패했지만 재밌었던 항아리 치마 만들기☺️☺️☺️,꼼꼼하게 밑주름까지 싹 잡았더니 (진심 스불재..) 항아리 모양으로 변질될 줄은... 그래도 여기서 영감을 얻었기에 (치마를 짧게 잡고 주름을 더 바짝 당기면 귀여운 요정 치마가 나오려나?? 같은.)시도는 나쁘지 않았다고 긍정적으로 스스로를 다독이는 중.. (허엉 내 피땀눈물...,덕질 열 숟가락,2일 전
호주워홀 +134~144) 스불재,"멜버른 호주 워킹홀리데이 (Melbourne Working Holiday) 2023. 11. 14(화) ~ 2023. 11. 24(금) 유일하게 일하면서 듣기 좋은 소리 짹짹이, 부르면 뛰어오는 귀여운 루비 바쁜 날은 하루에 3번이나 오는 트럭 복숭아를 가득 싣고 떠났다가 돌아온다 복숭아를 획득하였습니다 도망쳐야해...",bom's diary,2일 전
스불재 커미션 중요 공지,"스불재 커미션 진행 중에 문제가 발생하여 5천자 이상 신청해주신 ㅇㅇ님, ㅍㅎ님, ㄱㅎㅎ님, ㅉㅅ님께서는 제게 따로 채팅(계좌)를 남겨주시면 즉각적으로 환불 조치하겠습니다. 이 분들 중에서 진행을 원하시면 제게 말씀을 부탁드리고, 단순 변심으로도 환불해드립니다.",커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,2일 전
가을 느낄 새도 없이 겨울,그냥 다 마심 우리 누가 기숙사에서 나가라 한 것도 아니고 술을 마시라고 한 것도 아니고 스불재 오졌음... 청주 24시간 카페 가서 첫차 시간까지 버티다가 다같이 첫차 타고 죽을 맛으로 왔죠 뭐... 그리고 화요일 공강이고 수영하러 감 ㅋㅋㅋ 22+23 뻔미도 함 넘넘 재미있었따...,@ham.j.na,2일 전
글쓰는 거 괴로워.. 근데 재밌어...(반말x 혼잣말o),★공모전 관련 글은 공모전 자유게시판을 이용해주십시오★ 정말 괴로운데 즐겁네요 하하ㅠㅠ 오늘 작업도 화이팅입니다 작가님들! +요즘 내 그릇이 정말 작구나를 느끼고 있어요 전 걍 천생이 힘내서 타닥타닥 모닥불이지 활활 캠프파이어 할 그릇이 못 되는 것...,<글담> - 웹소설 작가들의 커뮤니티,2일 전
자유기부 미맄ㅇ이래서 한 5천 주실줄 알았는데6만 주심,망했다,좀비 고등학교 모바일,2일 전
직대딩일기 10,10.26 담날도 시험 ㅜㅜ 스불재다 스불재~~~~ 감자 박씨 특..) 문제 많음 그래도 시험 끝나면 하루가 신ㄴ ㅏ 요 ! 재수강하지 뭐 ! 에 대해서 (...) 이러니 스불재 인간이 바로 납니다 10.26 즐거운 마음으로 시험도 끝났겠다 엽떡 팝업 갔다 왔긩 약간.... 과제 목적도 있었지만...,ෆ쑤로그ෆ,2일 전
친구가 그림체 압수 해준거,-> 아뇨 있다면 원본 이미지 및 출처를 남겨주세요 -> 정방향 빛과 양기는 제가 스불재로 자체 압수 했습니다 장발 안되는거랑 눈묘사 압수의 손실이 크군요 아니 눈 하이라이트도 못찍게 하는건 너무한거 아닙니까? 따져봤지만 자기는 안찍는다네요 하 이 카페 어딘가에 있을...,그려봐요 메리마의 숲,2일 전
일렉기타 리뷰 70: 231123 인생 첫 공연 리뷰,나는 기타 처음 하는데 40초짜리 솔로를 맡다니 과중하다… 라는 생각을 안 하지는 않았지만 스불재니까 이겨냈습니다 두 시간동안 같이 동방에서 마지막 퍼기솔로가 막히는 문제가 뭔지 궁리하고 조언해 준 기타짱님의 도움이 무색하게 공연 일주일 전 총합에서 핑크탑...,외상친구내상,2일 전
교수 미워,바로 '스불재' 저는 스불재를 저번 학기까지 체험해본 적이 없는데.. 이번학기에 스불재가 뭔지 확실히 깨닫게 되었습니다. 저는 6전공을 소화 할 그릇이 안 되는 것 같습니다. 6전공 덕분에 정신이 없어서 온라인 강의 틀어놓는 것도 잊은 적이 한두번이 아닙니다 ^^ (출석...,♫,2일 전
