제목,내용,게시자,게시날짜
너의 시간 속으로 본 블로그,그래도 안효섭이 폭룡적으로 잘생겨서 참고 봤다. 교복 입은 안효섭을 볼 수 있었다는 점에서 상당히 큰 가치가 있다. 배경이 98년도인데 초딩같은 옷을 입고도 잘생겨서 놀랐다. 녹산즈에 대해서!! 너무 귀여웠다. 일단 셋이 노는 모습을 보면 90년대의 고등학생 감성이 너무...,커비처럼 비열하게,1일 전
본인 그림체 바뀌었는데 폭룡적으로 바뀜,전 후,좀비 고등학교 모바일,1일 전
"한줌 일상, 맛있는 여행과 덕질의 향기 ~231029",기대를 크게 안 했는데 넘넘 맛있다 231028 마라응떡도 맛있다 턍콩이 무지성구매 폭룡적 비주얼; 심장 아프니 이러지 마시길 231029 화제의 영화를 봤는데요 이해를 하려하니까 머리만 아프고.. 그냥 머리 비우고 애니메이션 구경하니까 괜찮음 그래서 어떻게 살면 되나요..,메모장,1일 전
[대전 송촌동 키오(KIO)] 깐풍기랑 꿀맥주 조합은 못 참아!,"말로 설명이 너무 힘들어요 요즘 말로 폭룡적인 맛이랄까...ㅠㅠ 제 남자친구가 치킨을 좋아해서 수백마리 닭을 먹어 봤는데, 이 집 깐풍기는 진심 맛집으로 인정하더라고요 ㅋㅋ 저희 사실 2개 남겼는데, 양 진짜 많아요 가격 대비 양도 많고 맛있어요 꿀맥주랑도 너무 잘...",너구리귀여워,1일 전
Skywalker--1,뭐임 그와중에 샥슈카 애기 사진도 찍었어요 과해 귀여움이 전체적으로 색 안바꾸고 피부색 빼고는 아빠색 고데로 받았길래 근데 또 눈매는 엄마 닮고 해서 속눈썹은 엄마꺼 넣어줌 애기 미모가 폭룡적 개귀여움 암튼 사진찍다 다끝났네 그렇다~ 아 미쳐따 대표사진 뭘로 하지,for.a.sclae,1일 전
광주 동명동 신상 카페 크림라떼 맛집 리뉴얼,진짜 쩔어준다 쫀득함+쫀득함 = 환상적 안에 무화과도 많이 박혀 있어서 그냥 폭룡적이더라고요... ㄷㄷ; 이 집 가시면 휘낭시에는 무조건 드셔봐야 합니다 아니 크림라떼도 아니 수제 밀크티도 ... 그냥 다 드세요 헤헤 이 글은 리뷰노트를 통하여 본 업체에서 제품 또는...,視 線,1일 전
일일이오,계란찜 폭룡적 두 개 먹어야 됨 후식 잔치국수까지 시켰는데 너무 배불러서 실장님 다 드림 ㅎㅎ... 올해 마지막 댕출 후크 자첫자막 폴데여서 홋후크 폴라 뽑음 ㅎㅎ 홋 지대 웃겨 에머이 혼밥 냐미 드아센 앞 벤치에서 사칠 막공 보려고 대기 중인데 갑자기 드플 배우분들...,*͛*͛ ͙͛,1일 전
글로니 아이사 니트 후기,참고로 거울샷 개병신같이 찍으니까 주의좀 성수 러드에 블랙 한창 남아있는걸 첨 입어봤음 진짜 폭룡적으로 넘 이뻤음 제발 문제는 피팅용 하나밖에 안남아서 맨 오른쪽 사진처럼 저렇게 밑단이 뱃살 같이 다 늘어나있었음 그래서 안삼 이 니트는 밑단이 좀 애매한듯 니트...,*•.❥*,1일 전
당신에게 사랑을 전하고 싶은 김루시입니다,하 헤드셋 안 샀으면 이거 샀겠다 조원상 때문에 미치겄어요 어디선가 굴러오는 버블 사진만 자꾸 훔쳐봄 당신의미모존나폭룡적이야 심장에 해롭다 조원상이랑 결혼하기엔 내가 너무 부족해 오랜만에 중식... 깜빡하고 탕수육을 안 찍었네요 알바 면접 보고 짱구 파우치 샀다...,₍ ᐢ..ᐢ₎,1일 전
아 넘 떨려요,폭룡적임 ..... 그리고 아이묭 ..... 그리고 마라탕 .... ( 영우씨 피셜 설렁탕 ;; ) 곰탕에 가까워요 ㅋ ;; 페이커 스토리 너무 귀엽 ..... 저는 상쿵의 개그 코드가 넘 취향 ... 케이크 맛있겠다 .... 과거의 내가 부럽 ... 도경수는 동물과 있을때 귀여움이 세배가 됩니다 .....,lovethatcool,1일 전
블랙프라이데이 겸 위시리스트,참 폭룡적인 옷들이 많네요 왼쪽 레더 패딩은 블프때 3만 5천원이엇음 미친 가격 오른쪽은 신상인 것 같은데 레더라서 너무 이쁨 ㅠㅠ 한겨울도 가능이라고 하심 이건 클라우드 이모션 신상 존예 ㅠ 한소희 니트 솔까 소희언니는 뭔들 하면서 넘겼었는데 유튜버분이 입고 리뷰...,*•.❥*,1일 전
용산역 카페 빵지순례 디저트 빵집 테디뵈르하우스 용산점 후기,"서민갑부에 그렇다고 나왔대요!ㅋㅋ 암턴 칼갈고 만든 크루아상답게 생김새 매우 폭룡적.. 가격대는 5,000원에서 7,000원대가 주를 이룹니다. 주로 크루아상 베이스의 빵들이 있고요. 종류는 영상으로 담아봤습니다. 결정하기 어려운 분께는 월 8,000개 팔린다는 뺑스위스와...",김롤 부부의 일상탈출 여행앨범,1일 전
"행돼먹#28 [부산 덕천 술집] 안주가 맛있는 분위기 좋은 이자카야, 미광",들어있어서 폭룡적인 비주얼이라 침이 계속 고였다 매운 스지 전골 메뉴도 있지만 나는 기본 스지 전골도 담백하고 개운하면서 약간의 칼칼함이 있어서 항상 그냥 스지 전골을 주문한다ㅎㅎ 사장님께서 가스불을 켜주시면서 끓으면 바로 먹어도 된다고 하셨다ㅎㅎ...,엉망진창 쮸시엔 라이프 'ㅅ',1일 전
몇 마디의 사랑이 견고한 방어막을 부수는 순간을 경험한다.,"그리고 집에 왔는데 어라… 이 남자가 폭룡적인 짓을 해놓음 오토바이 소리가 들리는 족족 다 내 것임 모든 게 다 우리 집으로 집합함 으아아,,, 아? 악. 나 혼자 사는데 뭐 집들이하니? 심지어 콘치즈는 두 개임 미치겟다 폭룡적인 남자… 내 심정이다. 흥 똥가현...",戰作名 青-春!!,1일 전
"230729, 230730 라쿠나 SUMMER NOISE / 한여름의사랑스러운소음",좋음ㅜ 둘째날 멍은 이삭이가 드럼 도입을 폭룡적으로 말아줘서;;; ㄷㄷㄷㄷㄷㄷ 오이삭 보고있으면 ㄹㅇ 심벌을 줘패고있음 나무늘보 - Mayday 나무늘보는 라이브로 들어야지.. 음원이랑 라이브랑 정말 다름 이제 음원만 들으면 심심하다. 정민혁 위잉위잉-이 있어야함....,그냥 일상,1일 전
폭룡적이다,아름다움......하...,프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠 공식카페,1일 전
[일상기록] 마지막 주 토요일 || 23년 11월,이번에는 상우 형도 같이 ~ 오뎅탕과 폭룡적인 쥬쥬의 악세사리. 이날 오뎅탕 먹고 골뱅이 먹고 3차로 할맥까지 가서 재밌게 놀았어요 ㅋㅋ 모여서 돈 얘기 사업 얘기 등등 신도시 서준맘 토크했답니다. 세명 조합이 생각보다 재밌어서 다음에도 만날 기회가 잇기를. 11월에는...,kkamagnun_,1일 전
"근데 있지, 아직도 방어 안 먹은 사람 있어? 그래도 돼..방어는 겨울이니까..~","더 폭룡적인 치즈버거일 줄 알았는데,,,좀 아쉽 그치만 간단해서 2차를 할 수 있을 거 같은 오히려 좋아 내 시야 사람 오천명 트리... 먹으니까 폭룡적으로 맛있네요 공부하고 퇴근하는 길 덕분에 자꾸 안 걷고 가게 해주셔서 감사합니당 뭐해? 징글징글하다 그냥 징글벨이야...",ab0ut na0,1일 전
반짝반짝 푸딩이 먹고싶어,만나자마자 같이 타로 보고 폭룡적인 배고픔을 참지 못하여 뜨끈한 순두부찌개를 섭취하러 갔습니다. 진짜 너무너무 배고파서 음식 나오자마자 대충 한 컷 찍고 폭풍 흡입해쓰요 ㅋ 도키도키 빼빼로 데이 My Lady 혜온이랑 같이 근무하는 분이 빼빼로를 하사해주셧어요...,피스타치오 먹고 싶다,1일 전
산리오보고 심장 캐빨리뛰눈중,"진짜 폭룡적으로 아름답다 아이리×마멜은 예전에 비슷한 꿈 꾼 적 잇어서 조흠,,,,,,,공식잘알;;",프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠 공식카페,1일 전
"""또대급""…7년 만에 우승컵 든 롤드컵, 흥행 더 반가운 이유","[정청락/웨이보 팬 : 모든 경기가 다 폭룡적이에요. 대단했어요.] [딩딩/페이커 팬 : 제우스가 오늘 보여준 기량이 뛰어났어요. 더샤이를 낙다운 시켰다고 말할 수 있어요.] [페이커 팬 : 페이커, 위대함은 두말할 필요가 없습니다. 누가 이 팀 (티원)을 롤드컵에 끌고 왔는데...",세상은 변화다,1일 전
8..월...그림백업....ㄷㄷㄷㄷ,식민지....는아니었던거같고 초반에 썼던 글이라 ㅈㄴ안맞는점이많습니다 무적함대 격파 당시 에스파냐가 해가 지지 않는 나라였다고 #과거의나죽이는법 와...폭룡적으로안올려버림 사유 중간준비 커뮤 귀찮음ㄹㅈㄷ 네...그래서 박박 긁은 거라 순서가 많이 이상함 그리고....,노구름의 잡담판,1일 전
"곤육몬, 바다건너 드디어 만나다",초절정미소녀 그냥 폭룡적임 에반게리온 e상 장발 레이 피규어 ￥4000 구매 레이 피규어 중에 아마 제일 인기가 많은 걸로... 솔직히 장발레이보다 이게 퀄도 그렇고 훨씬 폭룡적임 그냥 초절정교복미소녀라고 진짜 쿠지퀄 절대 아니고 존나 예뻐요 조형 도라이임...,･:*+.:+ꪔ̤̫,1일 전
Day1. 힘차게 한걸음,점심 디저트가 진짜 폭룡적으로 맛있어서.. 누워서 테트리스 좀 하다가 엘리멘탈 있길래 봐주고 나머지 시간은 어찌저찌 때웠습니다. 인천-프랑크푸르트(아시아나)-베를린(루프트한자) 저는 자가예매해서 시간이 너무 애매했는데 사전체크인에 보딩패스 모바일에 넣어두니...,그날의 너,1일 전
23.11.25,"빙수의 비주얼이 아주 어마무시해서 그냥 갈 순 없었을 것입니다 ㅎ 폭룡적 아이스크림..! 녹차빙수 안에 팥도 있고 우유 얼음이 맛있습니다. 합격! 이런저런 얘기를 하면서 먹는데 먹는 스타일이 정말 각자 같아서 한참을 웃었넹 ㅎ 한 곳만 패는 나와, 다채로움을...",diyeori,1일 전
3학년 Z반 긴파치 센세 소라치 히데아키표 일러스트,최강점프 1월호 잠자다가 목아파서 깼는데 큰거 왔다. 진짜 소라치 히데아키표 긴토키 카구라는 최고다.. (안경은 그냥 안경) 사랑해.. 난 너희 없이 살 수 없어.. 근데 진짜 긴파치 긴토키 ㄹㅇ 폭룡적이다 .. 십 존나 사랑해,류야옹의 블로그,1일 전
