연/월,"""2번남""_빈도수",연/월,"""G.O.A.T""_빈도수",연/월,"""h워얼v""_빈도수",연/월,"""가심비""_빈도수",연/월,"""갸루피스""_빈도수",연/월,"""관짝밈""_빈도수",연/월,"""국룰""_빈도수",연/월,"""국힙원탑""_빈도수",연/월,"""귀요미""_빈도수",연/월,"""기모띠""_빈도수",연/월,"""꿀잼""_빈도수",연/월,"""나비보벳따우""_빈도수",연/월,"""나심비""_빈도수",연/월,"""낮져밤이""_빈도수",연/월,"""너또다""_빈도수",연/월,"""당모치""_빈도수",연/월,"""대환장파티""_빈도수",연/월,"""덕밍아웃""_빈도수",연/월,"""등골 브레이커""_빈도수",연/월,"""떼껄룩""_빈도수",연/월,"""똥꼬충""_빈도수",연/월,"""라떼는 말이야""_빈도수",연/월,"""레알""_빈도수",연/월,"""맘충""_빈도수",연/월,"""머선129""_빈도수",연/월,"""명존쎄""_빈도수",연/월,"""모히또에서 몰디브""_빈도수",연/월,"""몰?루""_빈도수",연/월,"""무야호""_빈도수",연/월,"""박박나나짜짜""_빈도수",연/월,"""복세편살""_빈도수",연/월,"""설참""_빈도수",연/월,"""쉽살재빙""_빈도수",연/월,"""실화냐""_빈도수",연/월,"""씹선비""_빈도수",연/월,"""오저치고""_빈도수",연/월,"""오팬무""_빈도수",연/월,"""제당슈만""_빈도수",연/월,"""존버""_빈도수",연/월,"""취존""_빈도수",연/월,"""킹받""_빈도수",연/월,"""탈룰라""_빈도수",연/월,"""투머치토커""_빈도수",연/월,"""티엠아이""_빈도수",연/월,"""하입보이요""_빈도수",연/월,"""합격목걸이""_빈도수",연/월,"""햄최몇""_빈도수",연/월,"""행복회로""_빈도수",연/월,"""행쇼""_빈도수",연/월,"""헬창""_빈도수"
Aug-22,26,May-05,47,Aug-22,126,Mar-18,150,Jul-23,115,Nov-21,13,Sep-13,6,Aug-19,18,Oct-08,7,Sep-14,8,Feb-12,53,Jul-21,83,Aug-19,30,Feb-14,91,Aug-21,1,Feb-22,70,Nov-17,148,Dec-13,72,Nov-12,118,Feb-16,12,Apr-17,45,Dec-19,150,Apr-04,150,Jun-16,150,Apr-21,150,Jun-15,56,Jun-17,100,Oct-22,150,Aug-20,15,Dec-22,3,Nov-15,90,Jul-17,7,Mar-22,14,Apr-14,2,Mar-13,65,Oct-20,47,Dec-19,22,Jul-22,11,May-12,36,Dec-11,30,Jul-21,53,Jul-13,15,Jan-18,98,Oct-18,123,,,Nov-18,4,Jul-16,57,Apr-17,110,Jul-08,10,Mar-16,150
Sep-22,10,Jun-05,41,Sep-22,118,Apr-18,150,Aug-23,127,Dec-21,12,Oct-13,8,Sep-19,7,Nov-08,13,Oct-14,11,Mar-12,52,Aug-21,48,Sep-19,30,Mar-14,87,Sep-21,1,Mar-22,73,Dec-17,150,Jan-14,58,Dec-12,135,Mar-16,9,May-17,59,Jan-20,150,May-04,142,Jul-16,150,May-21,150,Jul-15,62,Jul-17,87,Nov-22,150,Sep-20,37,,,Dec-15,103,Aug-17,8,Apr-22,9,May-14,6,Apr-13,65,Nov-20,69,Jan-20,23,Aug-22,7,Jun-12,44,Jan-12,30,Aug-21,84,Aug-13,10,Feb-18,73,Nov-18,141,,,Dec-18,4,Aug-16,74,May-17,136,Aug-08,13,Apr-16,150
Oct-22,15,Jul-05,56,Oct-22,110,May-18,150,Sep-23,127,Jan-22,10,Nov-13,8,Oct-19,3,Dec-08,7,Nov-14,14,Apr-12,57,Sep-21,36,Oct-19,28,Apr-14,108,Oct-21,3,Apr-22,38,Jan-18,150,Feb-14,101,Jan-13,143,Apr-16,20,Jun-17,56,Feb-20,150,Jun-04,150,Aug-16,150,Jun-21,150,Aug-15,67,Aug-17,79,Dec-22,150,Oct-20,57,,,Jan-16,83,Sep-17,6,May-22,13,Jun-14,4,May-13,72,Dec-20,62,Feb-20,37,Sep-22,16,Jul-12,61,Feb-12,30,Sep-21,108,Sep-13,10,Mar-18,85,Dec-18,149,,,Jan-19,4,Sep-16,48,Jun-17,112,Sep-08,10,May-16,150
Nov-22,9,Aug-05,57,Nov-22,91,Jun-18,150,Oct-23,122,Feb-22,6,Dec-13,3,Nov-19,14,Jan-09,1,Dec-14,16,May-12,62,Oct-21,76,Nov-19,30,May-14,143,Nov-21,4,May-22,42,Feb-18,150,Mar-14,112,Feb-13,124,May-16,16,Jul-17,48,Mar-20,150,Jul-04,150,Sep-16,150,Jul-21,150,Sep-15,59,Sep-17,74,Jan-23,150,Nov-20,62,,,Feb-16,98,Oct-17,10,Jun-22,17,Jul-14,3,Jun-13,65,Jan-21,48,Mar-20,49,Oct-22,13,Aug-12,50,Mar-12,30,Oct-21,135,Oct-13,10,Apr-18,110,Jan-19,150,,,Feb-19,3,Oct-16,33,Jul-17,126,Oct-08,7,Jun-16,138
Dec-22,13,Sep-05,56,Dec-22,43,Jul-18,150,Nov-23,112,Mar-22,13,Jan-14,10,Dec-19,8,Feb-09,8,Jan-15,30,Jun-12,63,Nov-21,81,Dec-19,30,Jun-14,150,Dec-21,3,Jun-22,46,Mar-18,150,Apr-14,93,Mar-13,107,Jun-16,44,Aug-17,34,Apr-20,150,Aug-04,150,Oct-16,150,Aug-21,150,Oct-15,45,Oct-17,49,Feb-23,150,Dec-20,135,,,Mar-16,113,Nov-17,11,Jul-22,18,Aug-14,6,Jul-13,70,Feb-21,24,Apr-20,46,Nov-22,16,Sep-12,66,Apr-12,30,Nov-21,126,Nov-13,10,May-18,128,Feb-19,150,,,Mar-19,12,Nov-16,59,Aug-17,114,Nov-08,2,Jul-16,146
Jan-23,5,Oct-05,51,Jan-23,27,Aug-18,150,,,Apr-22,8,Feb-14,6,Jan-20,10,Mar-09,9,Feb-15,57,Jul-12,70,Dec-21,47,Jan-20,30,Jul-14,150,Jan-22,4,Jul-22,53,Apr-18,150,May-14,100,Apr-13,76,Jul-16,29,Sep-17,55,May-20,150,Sep-04,133,Nov-16,150,Sep-21,150,Nov-15,39,Nov-17,70,Mar-23,150,Jan-21,150,,,Apr-16,105,Dec-17,14,Aug-22,28,Sep-14,6,Aug-13,71,Mar-21,50,May-20,53,Dec-22,15,Oct-12,81,May-12,30,Dec-21,136,Dec-13,13,Jun-18,110,Mar-19,150,,,Apr-19,6,Dec-16,26,Sep-17,117,Dec-08,10,Aug-16,150
Feb-23,8,Nov-05,42,Feb-23,58,Sep-18,150,,,May-22,13,Mar-14,2,Feb-20,12,Apr-09,5,Mar-15,72,Aug-12,80,Jan-22,33,Feb-20,30,Aug-14,150,Feb-22,6,Aug-22,46,May-18,150,Jun-14,95,May-13,68,Aug-16,29,Oct-17,41,Jun-20,150,Oct-04,139,Dec-16,144,Oct-21,150,Dec-15,35,Dec-17,47,Apr-23,150,Feb-21,150,,,May-16,87,Jan-18,12,Sep-22,29,Oct-14,2,Sep-13,70,Apr-21,32,Jun-20,54,Jan-23,22,Nov-12,84,Jun-12,30,Jan-22,150,Jan-14,5,Jul-18,136,Apr-19,146,,,May-19,9,Jan-17,49,Oct-17,119,Jan-09,6,Sep-16,150
Mar-23,10,Dec-05,47,Mar-23,39,Oct-18,150,,,Jun-22,11,Apr-14,7,Mar-20,9,May-09,12,Apr-15,71,Sep-12,86,Feb-22,37,Mar-20,30,Sep-14,107,Mar-22,13,Sep-22,67,Jun-18,150,Jul-14,105,Jun-13,78,Sep-16,26,Nov-17,27,Jul-20,150,Nov-04,147,Jan-17,139,Nov-21,150,Jan-16,57,Jan-18,40,May-23,150,Mar-21,150,,,Jun-16,84,Feb-18,12,Oct-22,31,Nov-14,7,Oct-13,86,May-21,64,Jul-20,53,Feb-23,32,Dec-12,90,Jul-12,30,Feb-22,150,Feb-14,4,Aug-18,135,May-19,146,,,Jun-19,11,Feb-17,47,Nov-17,124,Feb-09,10,Oct-16,150
Apr-23,10,Jan-06,45,Apr-23,35,Nov-18,150,,,Jul-22,5,May-14,9,Apr-20,12,Jun-09,12,May-15,70,Oct-12,105,Mar-22,58,Apr-20,30,Oct-14,150,Apr-22,10,Oct-22,82,Jul-18,150,Aug-14,104,Jul-13,69,Oct-16,35,Dec-17,38,Aug-20,150,Dec-04,131,Feb-17,150,Dec-21,150,Feb-16,44,Feb-18,55,Jun-23,150,Apr-21,150,,,Jul-16,92,Mar-18,15,Nov-22,26,Dec-14,10,Nov-13,69,Jun-21,63,Aug-20,53,Mar-23,19,Jan-13,119,Aug-12,30,Mar-22,150,Mar-14,4,Sep-18,150,Jun-19,150,,,Jul-19,23,Mar-17,38,Dec-17,129,Mar-09,6,Nov-16,150
May-23,12,Feb-06,67,May-23,24,Dec-18,150,,,Aug-22,9,Jun-14,51,May-20,37,Jul-09,13,Jun-15,77,Nov-12,123,Apr-22,49,May-20,30,Nov-14,135,May-22,10,Nov-22,64,Aug-18,150,Sep-14,90,Aug-13,81,Nov-16,81,Jan-18,32,Sep-20,150,Jan-05,128,Mar-17,150,Jan-22,150,Mar-16,36,Mar-18,65,Jul-23,150,May-21,150,,,Aug-16,96,Apr-18,19,Dec-22,17,Jan-15,9,Dec-13,78,Jul-21,45,Sep-20,59,Apr-23,17,Feb-13,65,Sep-12,30,Apr-22,150,Apr-14,1,Oct-18,150,Jul-19,150,,,Aug-19,40,Apr-17,28,Jan-18,150,Apr-09,3,Dec-16,150
Jun-23,8,Mar-06,76,Jun-23,21,Jan-19,150,,,Sep-22,6,Jul-14,50,Jun-20,25,Aug-09,17,Jul-15,93,Dec-12,150,May-22,52,Jun-20,30,Dec-14,144,Jun-22,4,Dec-22,45,Sep-18,150,Oct-14,129,Sep-13,79,Dec-16,80,Feb-18,27,Oct-20,150,Feb-05,141,Apr-17,150,Feb-22,150,Apr-16,33,Apr-18,51,Aug-23,150,Jun-21,150,,,Sep-16,86,May-18,79,Jan-23,22,Feb-15,7,Jan-14,73,Aug-21,30,Oct-20,53,May-23,18,Mar-13,95,Oct-12,30,May-22,150,May-14,11,Nov-18,138,Aug-19,150,,,Sep-19,64,May-17,62,Feb-18,150,May-09,8,Jan-17,150
Jul-23,6,Apr-06,82,Jul-23,28,Feb-19,150,,,Oct-22,7,Aug-14,52,Jul-20,28,Sep-09,14,Aug-15,114,Jan-13,150,Jun-22,46,Jul-20,30,Jan-15,133,Jul-22,11,Jan-23,51,Oct-18,150,Nov-14,108,Oct-13,94,Jan-17,83,Mar-18,24,Nov-20,150,Mar-05,138,May-17,150,Mar-22,150,May-16,44,May-18,59,Sep-23,150,Jul-21,150,,,Oct-16,96,Jun-18,66,Feb-23,50,Mar-15,15,Feb-14,65,Sep-21,46,Nov-20,57,Jun-23,131,Apr-13,67,Nov-12,30,Jun-22,150,Jun-14,27,Dec-18,128,Sep-19,150,,,Oct-19,64,Jun-17,53,Mar-18,150,Jun-09,7,Feb-17,150
Aug-23,7,May-06,65,Aug-23,19,Mar-19,150,,,Nov-22,12,Sep-14,51,Aug-20,29,Oct-09,16,Sep-15,107,Feb-13,150,Jul-22,58,Aug-20,30,Feb-15,115,Aug-22,6,Feb-23,90,Nov-18,150,Dec-14,106,Nov-13,150,Feb-17,87,Apr-18,29,Dec-20,150,Apr-05,136,Jun-17,150,Apr-22,150,Jun-16,34,Jun-18,74,Oct-23,150,Aug-21,150,,,Nov-16,117,Jul-18,13,Mar-23,38,Apr-15,8,Mar-14,74,Oct-21,39,Dec-20,54,Jul-23,112,May-13,61,Dec-12,30,Jul-22,150,Jul-14,32,Jan-19,138,Oct-19,150,,,Nov-19,48,Jul-17,49,Apr-18,150,Jul-09,2,Mar-17,150
Sep-23,8,Jun-06,75,Sep-23,18,Apr-19,150,,,Dec-22,6,Oct-14,50,Sep-20,25,Nov-09,18,Oct-15,138,Mar-13,150,Aug-22,46,Sep-20,30,Mar-15,150,Sep-22,21,Mar-23,66,Dec-18,150,Jan-15,116,Dec-13,150,Mar-17,62,May-18,36,Jan-21,150,May-05,140,Jul-17,150,May-22,150,Jul-16,29,Jul-18,80,Nov-23,150,Sep-21,150,,,Dec-16,87,Aug-18,29,Apr-23,34,May-15,9,Apr-14,73,Nov-21,34,Jan-21,54,Aug-23,62,Jun-13,63,Jan-13,30,Aug-22,150,Aug-14,18,Feb-19,126,Nov-19,150,,,Dec-19,62,Aug-17,58,May-18,150,Aug-09,9,Apr-17,150
Oct-23,6,Jul-06,77,Oct-23,7,May-19,150,,,Jan-23,4,Nov-14,52,Oct-20,51,Dec-09,56,Nov-15,150,Apr-13,150,Sep-22,46,Oct-20,30,Apr-15,117,Oct-22,9,Apr-23,32,Jan-19,150,Feb-15,113,Jan-14,150,Apr-17,48,Jun-18,28,Feb-21,150,Jun-05,143,Aug-17,150,Jun-22,150,Aug-16,150,Aug-18,84,,,Oct-21,150,,,Jan-17,83,Sep-18,19,May-23,29,Jun-15,4,May-14,75,Dec-21,28,Feb-21,55,Sep-23,59,Jul-13,64,Feb-13,30,Sep-22,150,Sep-14,6,Mar-19,143,Dec-19,150,,,Jan-20,56,Sep-17,53,Jun-18,150,Sep-09,10,May-17,141
Nov-23,6,Aug-06,78,Nov-23,13,Jun-19,150,,,Feb-23,4,Dec-14,50,Nov-20,67,Jan-10,122,Dec-15,150,May-13,150,Oct-22,46,Nov-20,30,May-15,109,Nov-22,16,May-23,42,Feb-19,150,Mar-15,145,Feb-14,150,May-17,84,Jul-18,42,Mar-21,150,Jul-05,150,Sep-17,150,Jul-22,150,Sep-16,98,Sep-18,57,,,Nov-21,150,,,Feb-17,78,Oct-18,26,Jun-23,18,Jul-15,11,Jun-14,76,Jan-22,35,Mar-21,58,Oct-23,34,Aug-13,64,Mar-13,30,Oct-22,150,Oct-14,6,Apr-19,127,Jan-20,150,,,Feb-20,82,Oct-17,44,Jul-18,150,Oct-09,8,Jun-17,109
,,Sep-06,72,,,Jul-19,150,,,Mar-23,5,Jan-15,50,Dec-20,87,Feb-10,150,Jan-16,150,Jun-13,150,Nov-22,47,Dec-20,30,Jun-15,150,Dec-22,13,Jun-23,26,Mar-19,150,Apr-15,120,Mar-14,126,Jun-17,81,Aug-18,41,Apr-21,150,Aug-05,150,Oct-17,150,Aug-22,150,Oct-16,63,Oct-18,56,,,Dec-21,150,,,Mar-17,114,Nov-18,14,Jul-23,29,Aug-15,5,Jul-14,77,Feb-22,39,Apr-21,60,Nov-23,20,Sep-13,30,Apr-13,30,Nov-22,150,Nov-14,11,May-19,150,Feb-20,150,,,Mar-20,89,Nov-17,44,Aug-18,150,Nov-09,8,Jul-17,120
,,Oct-06,85,,,Aug-19,150,,,Apr-23,7,Feb-15,53,Jan-21,106,Mar-10,150,Feb-16,150,Jul-13,150,Dec-22,38,Jan-21,30,Jul-15,143,Jan-23,18,Jul-23,32,Apr-19,150,May-15,118,Apr-14,128,Jul-17,79,Sep-18,30,May-21,150,Sep-05,150,Nov-17,150,Sep-22,150,Nov-16,45,Nov-18,61,,,Jan-22,150,,,Apr-17,114,Dec-18,22,Aug-23,13,Sep-15,8,Aug-14,69,Mar-22,51,May-21,54,,,Oct-13,59,May-13,30,Dec-22,150,Dec-14,7,Jun-19,150,Mar-20,150,,,Apr-20,122,Dec-17,51,Sep-18,150,Dec-09,7,Aug-17,115
,,Nov-06,91,,,Sep-19,150,,,May-23,5,Mar-15,51,Feb-21,98,Apr-10,150,Mar-16,150,Aug-13,150,Jan-23,41,Feb-21,30,Aug-15,114,Feb-23,44,Aug-23,35,May-19,150,Jun-15,135,May-14,103,Aug-17,86,Oct-18,42,Jun-21,150,Oct-05,150,Dec-17,150,Oct-22,150,Dec-16,65,Dec-18,67,,,Feb-22,150,,,May-17,113,Jan-19,29,Sep-23,15,Oct-15,12,Sep-14,72,Apr-22,36,Jun-21,45,,,Nov-13,57,Jun-13,30,Jan-23,150,Jan-15,10,Jul-19,150,Apr-20,150,,,May-20,125,Jan-18,80,Oct-18,150,Jan-10,7,Sep-17,79
,,Dec-06,101,,,Oct-19,150,,,Jun-23,4,Apr-15,51,Mar-21,150,May-10,150,Apr-16,150,Sep-13,150,Feb-23,43,Mar-21,30,Sep-15,108,Mar-23,13,Sep-23,27,Jun-19,150,Jul-15,150,Jun-14,91,Sep-17,55,Nov-18,28,Jul-21,150,Nov-05,150,Jan-18,150,Nov-22,150,Jan-17,64,Jan-19,57,,,Mar-22,150,,,Jun-17,81,Feb-19,22,Oct-23,19,Nov-15,11,Oct-14,68,May-22,36,Jul-21,55,,,Dec-13,69,Jul-13,30,Feb-23,150,Feb-15,14,Aug-19,140,May-20,150,,,Jun-20,131,Feb-18,70,Nov-18,150,Feb-10,12,Oct-17,62
,,Jan-07,119,,,Nov-19,150,,,Jul-23,7,May-15,54,Apr-21,150,Jun-10,150,May-16,150,Oct-13,150,Mar-23,47,Apr-21,30,Oct-15,141,Apr-23,7,Oct-23,20,Jul-19,150,Aug-15,148,Jul-14,99,Oct-17,95,Dec-18,39,Aug-21,150,Dec-05,150,Feb-18,150,Dec-22,150,Feb-17,65,Feb-19,48,,,Apr-22,150,,,Jul-17,89,Mar-19,28,Nov-23,19,Dec-15,7,Nov-14,66,Jun-22,28,Aug-21,44,,,Jan-14,59,Aug-13,30,Mar-23,150,Mar-15,20,Sep-19,137,Jun-20,150,,,Jul-20,133,Mar-18,61,Dec-18,150,Mar-10,9,Nov-17,45
,,Feb-07,136,,,Dec-19,150,,,Aug-23,6,Jun-15,53,May-21,139,Jul-10,150,Jun-16,150,Nov-13,150,Apr-23,46,May-21,30,Nov-15,125,May-23,8,Nov-23,21,Aug-19,150,Sep-15,131,Aug-14,132,Nov-17,83,Jan-19,32,Sep-21,150,Jan-06,150,Mar-18,150,Jan-23,150,Mar-17,28,Mar-19,64,,,May-22,150,,,Aug-17,53,Apr-19,37,,,Jan-16,12,Dec-14,68,Jul-22,49,Sep-21,46,,,Feb-14,44,Sep-13,30,Apr-23,150,Apr-15,14,Oct-19,148,Jul-20,150,,,Aug-20,129,Apr-18,62,Jan-19,150,Apr-10,10,Dec-17,54
,,Mar-07,122,,,Jan-20,150,,,Sep-23,4,Jul-15,53,Jun-21,79,Aug-10,150,Jul-16,150,Dec-13,150,May-23,46,Jun-21,30,Dec-15,134,Jun-23,3,,,Sep-19,150,Oct-15,143,Sep-14,139,Dec-17,60,Feb-19,26,Oct-21,150,Feb-06,150,Apr-18,150,Feb-23,150,Apr-17,35,Apr-19,56,,,Jun-22,150,,,Sep-17,43,May-19,43,,,Feb-16,13,Jan-15,73,Aug-22,124,Oct-21,58,,,Mar-14,88,Oct-13,30,May-23,150,May-15,19,Nov-19,150,Aug-20,150,,,Sep-20,132,May-18,58,Feb-19,150,May-10,11,Jan-18,50
,,Apr-07,118,,,Feb-20,150,,,Oct-23,10,Aug-15,52,Jul-21,104,Sep-10,150,Aug-16,150,Jan-14,150,Jun-23,39,Jul-21,20,Jan-16,134,Jul-23,4,,,Oct-19,150,Nov-15,150,Oct-14,150,Jan-18,100,Mar-19,19,Nov-21,150,Mar-06,150,May-18,150,Mar-23,150,May-17,27,May-19,62,,,Jul-22,150,,,Oct-17,34,Jun-19,16,,,Mar-16,13,Feb-15,70,Sep-22,48,Nov-21,46,,,Apr-14,55,Nov-13,30,Jun-23,150,Jun-15,42,Dec-19,150,Sep-20,150,,,Oct-20,143,Jun-18,64,Mar-19,150,Jun-10,8,Feb-18,42
,,May-07,110,,,Mar-20,150,,,Nov-23,2,Sep-15,52,Aug-21,71,Oct-10,150,Sep-16,150,Feb-14,150,Jul-23,65,Aug-21,30,Feb-16,108,Aug-23,4,,,Nov-19,150,Dec-15,150,Nov-14,150,Feb-18,86,Apr-19,24,Dec-21,150,Apr-06,150,Jun-18,150,Apr-23,150,Jun-17,37,Jun-19,79,,,Aug-22,150,,,Nov-17,39,Jul-19,15,,,Apr-16,5,Mar-15,66,Oct-22,61,Dec-21,33,,,May-14,80,Dec-13,30,Jul-23,150,Jul-15,26,Jan-20,143,Oct-20,150,,,Nov-20,145,Jul-18,64,Apr-19,150,Jul-10,10,Mar-18,55
,,Jun-07,111,,,Apr-20,150,,,,,Oct-15,55,Sep-21,84,Nov-10,150,Oct-16,150,Mar-14,150,Aug-23,76,Sep-21,30,Mar-16,86,Sep-23,6,,,Dec-19,150,Jan-16,150,Dec-14,150,Mar-18,86,May-19,32,Jan-22,150,May-06,150,Jul-18,150,May-23,150,Jul-17,31,Jul-19,71,,,Sep-22,150,,,Dec-17,38,Aug-19,17,,,May-16,9,Apr-15,81,Nov-22,61,Jan-22,58,,,Jun-14,60,Jan-14,30,Aug-23,150,Aug-15,16,Feb-20,146,Nov-20,150,,,Dec-20,150,Aug-18,57,May-19,150,Aug-10,20,Apr-18,55
,,Jul-07,117,,,May-20,150,,,,,Nov-15,58,Oct-21,130,Dec-10,150,Nov-16,150,Apr-14,150,Sep-23,40,Oct-21,26,Apr-16,98,Oct-23,5,,,Jan-20,150,Feb-16,150,Jan-15,150,Apr-18,82,Jun-19,28,Feb-22,150,Jun-06,150,Aug-18,150,Jun-23,150,Aug-17,25,Aug-19,72,,,Oct-22,150,,,Jan-18,32,Sep-19,17,,,Jun-16,10,May-15,88,Dec-22,36,Feb-22,61,,,Jul-14,76,Feb-14,30,Sep-23,150,Sep-15,18,Mar-20,150,Dec-20,150,,,Jan-21,150,Sep-18,63,Jun-19,150,Sep-10,6,May-18,58
,,Aug-07,106,,,Jun-20,150,,,,,Dec-15,56,Nov-21,131,Jan-11,150,Dec-16,150,May-14,150,Oct-23,68,Nov-21,24,May-16,91,Nov-23,5,,,Feb-20,150,Mar-16,150,Feb-15,128,May-18,74,Jul-19,26,Mar-22,150,Jul-06,150,Sep-18,150,Jul-23,150,Sep-17,40,Sep-19,52,,,Nov-22,150,,,Feb-18,34,Oct-19,24,,,Jul-16,13,Jun-15,82,Jan-23,38,Mar-22,58,,,Aug-14,52,Mar-14,30,Oct-23,150,Oct-15,17,Apr-20,150,Jan-21,150,,,Feb-21,132,Oct-18,72,Jul-19,150,Oct-10,9,Jun-18,31
,,Sep-07,94,,,Jul-20,150,,,,,Jan-16,56,Dec-21,150,Feb-11,150,Jan-17,150,Jun-14,150,Nov-23,62,Dec-21,30,Jun-16,94,,,,,Mar-20,150,Apr-16,150,Mar-15,150,Jun-18,80,Aug-19,20,Apr-22,150,Aug-06,150,Oct-18,150,Aug-23,150,Oct-17,32,Oct-19,46,,,Dec-22,150,,,Mar-18,70,Nov-19,9,,,Aug-16,18,Jul-15,81,Feb-23,52,Apr-22,40,,,Sep-14,59,Apr-14,30,Nov-23,150,Nov-15,18,May-20,150,Feb-21,150,,,Mar-21,144,Nov-18,74,Aug-19,150,Nov-10,12,Jul-18,59
,,Oct-07,114,,,Aug-20,150,,,,,Feb-16,60,Jan-22,133,Mar-11,150,Feb-17,150,Jul-14,150,,,Jan-22,27,Jul-16,81,,,,,Apr-20,150,May-16,150,Apr-15,144,Jul-18,86,Sep-19,25,May-22,150,Sep-06,150,Nov-18,150,Sep-23,150,Nov-17,36,Nov-19,45,,,Jan-23,150,,,Apr-18,53,Dec-19,15,,,Sep-16,18,Aug-15,79,Mar-23,54,May-22,59,,,Oct-14,75,May-14,30,,,Dec-15,17,Jun-20,150,Mar-21,150,,,Apr-21,146,Dec-18,89,Sep-19,150,Dec-10,6,Aug-18,44
,,Nov-07,108,,,Sep-20,150,,,,,Mar-16,25,Feb-22,115,Apr-11,150,Mar-17,150,Aug-14,150,,,Feb-22,27,Aug-16,86,,,,,May-20,150,Jun-16,126,May-15,143,Aug-18,108,Oct-19,32,Jun-22,150,Oct-06,150,Dec-18,150,Oct-23,150,Dec-17,50,Dec-19,55,,,Feb-23,150,,,May-18,86,Jan-20,22,,,Oct-16,45,Sep-15,72,Apr-23,31,Jun-22,34,,,Nov-14,104,Jun-14,30,,,Jan-16,14,Jul-20,150,Apr-21,150,,,May-21,129,Jan-19,94,Oct-19,150,Jan-11,9,Sep-18,43
,,Dec-07,90,,,Oct-20,150,,,,,Apr-16,15,Mar-22,150,May-11,150,Apr-17,150,Sep-14,150,,,Mar-22,30,Sep-16,64,,,,,Jun-20,150,Jul-16,150,Jun-15,134,Sep-18,105,Nov-19,15,Jul-22,150,Nov-06,150,Jan-19,150,Nov-23,150,Jan-18,55,Jan-20,52,,,Mar-23,150,,,Jun-18,69,Feb-20,30,,,Nov-16,90,Oct-15,78,May-23,38,Jul-22,57,,,Dec-14,103,Jul-14,30,,,Feb-16,20,Aug-20,150,May-21,150,,,Jun-21,135,Feb-19,75,Nov-19,150,Feb-11,6,Oct-18,35
,,Jan-08,108,,,Nov-20,150,,,,,May-16,15,Apr-22,150,Jun-11,150,May-17,150,Oct-14,150,,,Apr-22,30,Oct-16,90,,,,,Jul-20,150,Aug-16,150,Jul-15,149,Oct-18,102,Dec-19,16,Aug-22,150,Dec-06,150,Feb-19,150,,,Feb-18,43,Feb-20,64,,,Apr-23,150,,,Jul-18,107,Mar-20,29,,,Dec-16,150,Nov-15,88,Jun-23,34,Aug-22,43,,,Jan-15,150,Aug-14,30,,,Mar-16,24,Sep-20,30,Jun-21,150,,,Jul-21,148,Mar-19,79,Dec-19,150,Mar-11,11,Nov-18,33
,,Feb-08,97,,,Dec-20,150,,,,,Jun-16,8,May-22,145,Jul-11,150,Jun-17,150,Nov-14,150,,,May-22,30,Nov-16,84,,,,,Aug-20,150,Sep-16,150,Aug-15,121,Nov-18,112,Jan-20,26,Sep-22,150,Jan-07,150,Mar-19,150,,,Mar-18,34,Mar-20,52,,,May-23,150,,,Aug-18,110,Apr-20,46,,,Jan-17,150,Dec-15,87,Jul-23,44,Sep-22,70,,,Feb-15,120,Sep-14,30,,,Apr-16,20,Oct-20,149,Jul-21,150,,,Aug-21,150,Apr-19,61,Jan-20,150,Apr-11,8,Dec-18,50
,,Mar-08,99,,,Jan-21,150,,,,,Jul-16,10,Jun-22,118,Aug-11,150,Jul-17,150,Dec-14,150,,,Jun-22,34,Dec-16,93,,,,,Sep-20,150,Oct-16,150,Sep-15,137,Dec-18,91,Feb-20,34,Oct-22,150,Feb-07,150,Apr-19,150,,,Apr-18,33,Apr-20,45,,,Jun-23,150,,,Sep-18,89,May-20,44,,,Feb-17,150,Jan-16,85,Aug-23,29,Oct-22,68,,,Mar-15,100,Oct-14,30,,,May-16,17,Nov-20,150,Aug-21,150,,,Sep-21,150,May-19,74,Feb-20,150,May-11,10,Jan-19,35
,,Apr-08,100,,,Feb-21,150,,,,,Aug-16,25,Jul-22,126,Sep-11,150,Aug-17,150,Jan-15,150,,,Jul-22,26,Jan-17,124,,,,,Oct-20,150,Nov-16,150,Oct-15,147,Jan-19,111,Mar-20,45,Nov-22,150,Mar-07,150,May-19,150,,,May-18,30,May-20,58,,,Jul-23,150,,,Oct-18,105,Jun-20,38,,,Mar-17,150,Feb-16,71,Sep-23,37,Nov-22,59,,,Apr-15,109,Nov-14,30,,,Jun-16,13,Dec-20,150,Sep-21,150,,,Oct-21,150,Jun-19,50,Mar-20,150,Jun-11,17,Feb-19,71
,,May-08,113,,,Mar-21,150,,,,,Sep-16,11,Aug-22,129,Oct-11,150,Sep-17,150,Feb-15,150,,,Aug-22,17,Feb-17,120,,,,,Nov-20,150,Dec-16,147,Nov-15,150,Feb-19,118,Apr-20,29,Dec-22,150,Apr-07,150,Jun-19,150,,,Jun-18,35,Jun-20,70,,,Aug-23,150,,,Nov-18,109,Jul-20,36,,,Apr-17,150,Mar-16,87,Oct-23,31,Dec-22,64,,,May-15,101,Dec-14,30,,,Jul-16,41,Jan-21,150,Oct-21,150,,,Nov-21,140,Jul-19,76,Apr-20,150,Jul-11,9,Mar-19,52
